original_path	original_status	bytes	sha256	classification	collaborator_destination	disposition	reason
dimswe/__pycache__/hyperviscosity_hvp.cpython-312.pyc	UNTRACKED	39000	f0a16c61eecbe5da98600a95e04379f498b8e100478e8bb01a39c3085f7f61c9	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/initial_conditions.cpython-312.pyc	UNTRACKED	36949	6d7472a9ff99e84aebcea3dfc91466ce01e95e8ec2e0886bab9dc999a5278d1d	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/jax_moist.cpython-312.pyc	UNTRACKED	8441	c802cf14df58b1e119e5eb93bced90932cd9900d6e824befed917fa104864c08	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/jax_moist_adapter.cpython-312.pyc	UNTRACKED	32250	50b7ea64d7ccb5c3adff0694e6e1d98f6852315d4a976bc52e4ba71570bba49f	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/jax_moist_derivatives.cpython-312.pyc	UNTRACKED	4755	0a459c67d1662cc0f7febafd2c878619f6fa0c566e205f496e3c22b0ed22d41d	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/jax_moist_hvp.cpython-312.pyc	UNTRACKED	39488	f47c75ff22b26f51c2cb19d2387d600c5095ba9166bf5bccc0410ed6ecfb5253	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/logger.cpython-312.pyc	UNTRACKED	1353	35de9a65298d703a3b072cca1c06d27a9bcd52618002801ede4f4429cd497f79	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/meshes.cpython-312.pyc	UNTRACKED	8541	db69c88853b111553f65b2f1ca96847c38b3e142e12b947c67682eed22588dad	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/models.cpython-312.pyc	UNTRACKED	14503	668b9683032aefafbcae67ab683958a158673b7e2eb614066f5d05afe763210e	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/moist_backend.cpython-312.pyc	UNTRACKED	7184	1d3ed589332a95b56a5dcc50e265eb99df0bdb963a0d481d0ca2c8a0192e9801	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/mtswe_split_hvp.cpython-312.pyc	UNTRACKED	73533	7bfbbb33020568fb5397f10ac5eed3f426dd93cb4ecfc959efa208bb82176f18	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/numpy_helpers.cpython-312.pyc	UNTRACKED	1128	a1383c7c64adaae2e0f6693aa58fc191d5d0de7723db3d6d1ebb080167675cdf	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/operators.cpython-312.pyc	UNTRACKED	2355	aa79d56c7877c62a0a44609c50800b6f018b5f22c1ef4a5fb904f8a19a4a26c4	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/parameters.cpython-312.pyc	UNTRACKED	1473	2873da68771c2924c549c35dce9e26c76b426c6c3bc1c94a4997f53ef9a2aaa4	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/physics.cpython-312.pyc	UNTRACKED	6549	4ab921efce3de046e0990b2de320ceaec286fed406862abba50fc6b54b422530	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/resolved_hidden_c0.cpython-312.pyc	UNTRACKED	49110	dc84fe75343632cb5d16d3e2f915fdd9100907249a6a982b5288ec7f5d293107	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/resolved_hidden_c0_driver.cpython-312.pyc	UNTRACKED	36911	ad8bb468533e831b0b3afd777d502da604f6a35b824c1d7e9bb13bfd55946ee1	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/resolved_hidden_c0_inference.cpython-312.pyc	UNTRACKED	57274	42c67486d0bfd79c4d5e14a78a03ebcf71350cb7d0d3425c8e7f4b1f2b624d5d	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/rol_adapter.cpython-312.pyc	UNTRACKED	7313	8293d0aecb647b0910a81ddc4c70e105e8b0525e93a6cdd7a8c296fc69515709	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/selected_test1b.cpython-312.pyc	UNTRACKED	27430	07f4d7d21d801eb72d11d506ee410380b3830199dae1636be7e84d5690d0bbc6	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/statistics.cpython-312.pyc	UNTRACKED	4409	146dcde6381177ed434a5ad3eee307ea1096c7da53d1208a4672dbc693c07214	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/test2a_apriori_autonomous.cpython-312.pyc	UNTRACKED	29555	d95b8a1911f19682633ce9c153252bd544e641a6d24afdde53e61a98803a83dc	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/test2a_discrete_offline.cpython-312.pyc	UNTRACKED	38922	60c77d35c1a0a664602099dc96d77198e6fa31c1f040e72a576823d705628f47	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/test2a_discrete_training.cpython-312.pyc	UNTRACKED	97311	06a6c845567312248a52ef81fe584d9d4d6599e5d35bccf12a604324fe0ce405	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/test2a_embedded_moist.cpython-312.pyc	UNTRACKED	25644	7552531f1934996f906fb43eb7a3dd058b14cfae212de85eda998a9b433f652f	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/test2a_h1_m2_equivalence.cpython-312.pyc	UNTRACKED	28659	b1c991eb192dabfc81cdbbe42eaa72c240f30036ae8c02f21b649ef9e9e851c5	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/test2a_operator.cpython-312.pyc	UNTRACKED	48781	ce493ca14045412022f757eedfe6915542d1147fc1e65054227b69ff1433c03a	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/test2a_problem_b.cpython-312.pyc	UNTRACKED	35448	54a12bd6350ac433a3f52d105e93edb64e394c6d9122895865cff20ed47094a4	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/test2a_problem_b_campaign.cpython-312.pyc	UNTRACKED	86217	304670d095ce7ba62a6806deeec072de192eb94258583a5e351139e65b04d749	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/test2a_pyrol.cpython-312.pyc	UNTRACKED	28070	85df20d452d05196c2a9ca601787fb8bcc7f6cd17a959e7f9bc913945efdac7b	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/test2a_trajectory.cpython-312.pyc	UNTRACKED	36620	40f1d8475bd461739b7cbeebd59a2d18e8248739a0abb2eff6fcb82f22cddcab	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/test2a_trajectory_certification.cpython-312.pyc	UNTRACKED	25386	c93dcd8a35337396c02b7007e44e85f115b59e8f963a3626113f9976fc4fa888	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/test2b_rain_case_design.cpython-312.pyc	UNTRACKED	16862	c32d7fbeecc12f0cbaf1f18ec4eecfa56a942960a0b1c03738689ad886a2454b	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/test2b_rain_learning.cpython-312.pyc	UNTRACKED	36053	53110cfb0183b52a49a8ae56282a49e470c159e3c2fde101cf03c258c237761c	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/test2b_rain_learning_campaign.cpython-312.pyc	UNTRACKED	68746	672be8e4f2af620014639848b69c8c1a66975b215d91b803eadb596a6c141b29	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/test2b_rain_learning_prepare.cpython-312.pyc	UNTRACKED	26001	560acfdb6c614b37e2e8544a385392d5ae66e2c25d1af938110ad92a31d32d34	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/test2b_representation_a_postprocess.cpython-312.pyc	UNTRACKED	40106	3bd93e7bf3ced9ec621554246a01aeeeb938c03fc99af0c1b115eb3810d6d2e3	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/test2b_representation_b_postprocess.cpython-312.pyc	UNTRACKED	43636	64dfa37bb43e5d9529aed0d1d308e197ce326a9e1faa6f0c4f2484aaa20d7831	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/test2b_representation_bplus_prepare.cpython-312.pyc	UNTRACKED	16840	3897471f90d479a9452f982281d759142b21ae51f60295a5a2e1834b7846d8d0	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/test2b_representation_c_postprocess.cpython-312.pyc	UNTRACKED	57631	492d7bdaf17485995fbed30d525c29942568ee259ce60dd44b9bdcc57b8e3195	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/timestepping.cpython-312.pyc	UNTRACKED	57426	b1419de14e79a0ecd8a89e1943007bc43ba1031d26486f4ed3c58246aad94af1	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/transport_operators.cpython-312.pyc	UNTRACKED	3098	8a46a7ead452bc138b0624a5e43cfa62a1b020a8b929ac78aeb3c3b1db36f2f1	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/ufl_helpers.cpython-312.pyc	UNTRACKED	859	98e9de74649c6cec73c5fe7e9bb99bb540814a0fa4f0915808a574cdafbbea58	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/__pycache__/variables.cpython-312.pyc	UNTRACKED	4467	5a5e6e5e0851502ed6af92943a70e23849fc889e0c7960ec0543114dd6367d2a	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/configs/test2a_apriori_autonomous.json	UNTRACKED	1447	4d8ea55e3569f52e3a7f53722b33f6b08a5de0736c34ba8a3a105aaba41d5b56	CANONICAL_CONFIG	dimswe/configs/test2a_apriori_autonomous.json	RETAINED_VERSIONED	scientific configuration
dimswe/configs/test2a_deployed_discrete_50k.json	UNTRACKED	3041	c1c58908c3814919324638b3fc4002a1055736bbeaaf21e9dff63425966dc4be	CANONICAL_CONFIG	dimswe/configs/test2a_deployed_discrete_50k.json	RETAINED_VERSIONED	scientific configuration
dimswe/configs/test2a_deployed_discrete_direct50k.json	UNTRACKED	2331	b031cd3a0a45fa0894a167f9b892852211d9a04ce8d464c56fece4d540ddde2f	CANONICAL_CONFIG	dimswe/configs/test2a_deployed_discrete_direct50k.json	RETAINED_VERSIONED	scientific configuration
dimswe/configs/test2a_deployed_discrete_offline.json	UNTRACKED	2329	2466ff8865eb2bb840f77d1617b230aaef8301cbff1ffda4a42b889bea4901e1	CANONICAL_CONFIG	dimswe/configs/test2a_deployed_discrete_offline.json	RETAINED_VERSIONED	scientific configuration
dimswe/configs/test2a_embedded_neural_a.json	UNTRACKED	2315	196b469192e95f6b0ff1e5a31bf568c055c704946e01ad231bccf3bb4bad5f70	CANONICAL_CONFIG	dimswe/configs/test2a_embedded_neural_a.json	RETAINED_VERSIONED	scientific configuration
dimswe/configs/test2a_fair_discrete_200k.json	UNTRACKED	3088	79a6baee8b917a4854971e5f087eeba4b149338821dffade4539bd4b7c2f6865	CANONICAL_CONFIG	dimswe/configs/test2a_fair_discrete_200k.json	RETAINED_VERSIONED	scientific configuration
dimswe/configs/test2a_fair_operator_200k.json	UNTRACKED	1047	b8ed5c9dc88f0b39cea5a0d054e7c0e5e77844fbddd7b4368d92ca0c53afab82	CANONICAL_CONFIG	dimswe/configs/test2a_fair_operator_200k.json	RETAINED_VERSIONED	scientific configuration
dimswe/configs/test2a_fiml_sparse_endpoint_h2_h5.json	UNTRACKED	3860	0d3bb7eba11074d883425c0accdf3ae94f7123f720ab56c42cd209d0db47cde7	CANONICAL_CONFIG	dimswe/configs/test2a_fiml_sparse_endpoint_h2_h5.json	RETAINED_VERSIONED	scientific configuration
dimswe/configs/test2a_horizon_curriculum_h1_h2_h5.json	UNTRACKED	4249	4a9fea9c348a4365011c7690fa67b84712571b35f5db3e95517785aec4492e63	CANONICAL_CONFIG	dimswe/configs/test2a_horizon_curriculum_h1_h2_h5.json	RETAINED_VERSIONED	scientific configuration
dimswe/configs/test2a_m1_to_m2_finetune_50k.json	UNTRACKED	3386	cb9bcff4694a7157882214ce8c48849ad8a482e87c3e16cbb83d49b8974ccff2	CANONICAL_CONFIG	dimswe/configs/test2a_m1_to_m2_finetune_50k.json	RETAINED_VERSIONED	scientific configuration
dimswe/configs/test2a_m20_50000_continuation.json	UNTRACKED	3459	e95bbd6c248d8443ecb51a9e33b7eec1572c95ff346067ff8cfe10d61016b2c5	CANONICAL_CONFIG	dimswe/configs/test2a_m20_50000_continuation.json	RETAINED_VERSIONED	scientific configuration
dimswe/configs/test2a_m20_continuation.json	UNTRACKED	2179	191d2448fd8d740c4a28f499ce842c0542ea681d53fa3f966143b254f12c6fb2	CANONICAL_CONFIG	dimswe/configs/test2a_m20_continuation.json	RETAINED_VERSIONED	scientific configuration
dimswe/configs/test2a_m20_plateau_continuation.json	UNTRACKED	3242	fd1fe27b6bc1e879a29e8e87ef918b737efe95d43933f080f8030ad09286f927	CANONICAL_CONFIG	dimswe/configs/test2a_m20_plateau_continuation.json	RETAINED_VERSIONED	scientific configuration
dimswe/configs/test2a_m20_plus45000_continuation.json	UNTRACKED	3363	96f5ebaf9ae828931487b73d17938e601926d71fe8c53bc4a6b6fa326b7f9a19	CANONICAL_CONFIG	dimswe/configs/test2a_m20_plus45000_continuation.json	RETAINED_VERSIONED	scientific configuration
dimswe/configs/test2a_optimizer_study.json	UNTRACKED	2482	4465ca53ecd9d2f957c1e59406f41880c2fcd3df2a0e922c7e0586eaed7f9927	CANONICAL_CONFIG	dimswe/configs/test2a_optimizer_study.json	RETAINED_VERSIONED	scientific configuration
dimswe/configs/test2a_problem_b.json	UNTRACKED	1845	ded789cb031dc333d8ca22a24ed216d4e4d72bc7f1fb104049a68e62bfe65f90	CANONICAL_CONFIG	dimswe/configs/test2a_problem_b.json	RETAINED_VERSIONED	scientific configuration
dimswe/configs/test2a_selected_operator.json	UNTRACKED	2335	78e5ad8accc9a0b10a35a95c6968a6da638ce5937ca810a651b76b258aee79e4	CANONICAL_CONFIG	dimswe/configs/test2a_selected_operator.json	RETAINED_VERSIONED	scientific configuration
dimswe/configs/test2a_trajectory_prep.json	UNTRACKED	1870	948d73565c120b19262a0432d9790c056fa2e902dd73c566c056d5e74c1b6a82	CANONICAL_CONFIG	dimswe/configs/test2a_trajectory_prep.json	RETAINED_VERSIONED	scientific configuration
dimswe/configs/test2b_rain_active_case.json	UNTRACKED	1980	09d947f9c7a5b93bdbe4c4b0c88712da697d1d53e2f0afb3f78cda246de9517f	CANONICAL_CONFIG	dimswe/configs/test2b_rain_active_case.json	RETAINED_VERSIONED	scientific configuration
dimswe/configs/test2b_rain_active_learning.json	UNTRACKED	2413	d04faed1e34469dcd7c0ee8c5382c832e337cd129a7d57cf247c7d2c201d57d1	CANONICAL_CONFIG	dimswe/configs/test2b_rain_active_learning.json	RETAINED_VERSIONED	scientific configuration
dimswe/configs/test2b_rain_active_truth.json	UNTRACKED	1826	254cb5af9c2468565bde2034a73ae118e5ab20829f8f5ea26724c393c00b49e7	CANONICAL_CONFIG	dimswe/configs/test2b_rain_active_truth.json	RETAINED_VERSIONED	scientific configuration
dimswe/learned_physics/__pycache__/__init__.cpython-312.pyc	UNTRACKED	1700	36b585822ed4f1e817564410dd42384df2d653ef350c81b6de0af43f166cb681	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/learned_physics/__pycache__/closure.cpython-312.pyc	UNTRACKED	4356	5e6f763536942086e5978a8f3618cf9cd6162055ea9c79424d796097d6919451	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/learned_physics/__pycache__/experiment.cpython-312.pyc	UNTRACKED	19687	70af22f33b439b70f6b4b178714137e389b644f2d8f445c09c35979d4812adce	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/learned_physics/__pycache__/objectives.cpython-312.pyc	UNTRACKED	12812	b6f2f75dda99d0863236f7e5a9ce8fd9fd1fa59bd3f98f0dc353a42619a91359	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/learned_physics/__pycache__/parameters.cpython-312.pyc	UNTRACKED	6862	b49623cfafd95d338b3885f98e744a6fcf3edc08f51dbd48dbcb039c313c4681	OBSOLETE	(excluded; frozen copy remains in the authoritative checkout and manifest)	EXCLUDED_GENERATED	OS/Python generated clutter with no scientific role
dimswe/test2_moist_activity.py	UNTRACKED	27346	a8aa72fb6a6059548f06b520a8a7e50cbd518729a63e1b981adddfac2183ca9d	CANONICAL_SOURCE	dimswe/test2_moist_activity.py	RETAINED_VERSIONED	scientific implementation
dimswe/test2a_apriori_autonomous.py	UNTRACKED	21814	fc5ca7d4be4117f81ced378f5e2c4476240fcc52ddc789826011b87c0abab41f	CANONICAL_SOURCE	dimswe/test2a_apriori_autonomous.py	RETAINED_VERSIONED	scientific implementation
dimswe/test2a_backend_offset_audit.py	UNTRACKED	37469	8637dba85159405de75c45a3b91d1adff6597f844f26db064d3af3732679f56d	CANONICAL_SOURCE	dimswe/test2a_backend_offset_audit.py	RETAINED_VERSIONED	scientific implementation
dimswe/test2a_continuation.py	UNTRACKED	28997	2b8b6a4e15037c8d152ee14d9cc7b42ec937e9e54e7cf82417bb8168d49a99e2	CANONICAL_SOURCE	dimswe/test2a_continuation.py	RETAINED_VERSIONED	scientific implementation
dimswe/test2a_discrete_offline.py	UNTRACKED	29936	be7149b8caf052c89aa0a609245f28489d2a8ce425621e0ce7047007a992d5cf	CANONICAL_SOURCE	dimswe/test2a_discrete_offline.py	RETAINED_VERSIONED	scientific implementation
dimswe/test2a_discrete_training.py	UNTRACKED	81695	e150829c1417999325ca4d6e2dc5ba29f07fb41f516065db9e6670c8df6942a1	CANONICAL_SOURCE	dimswe/test2a_discrete_training.py	RETAINED_VERSIONED	scientific implementation
dimswe/test2a_embedded_moist.py	UNTRACKED	20291	9073c14b9fb32245ef4e19c9bff155c99cd20194fba3b696510fad280a77324d	CANONICAL_SOURCE	dimswe/test2a_embedded_moist.py	RETAINED_VERSIONED	scientific implementation
dimswe/test2a_fair_longfit.py	UNTRACKED	30002	e42cca893ce1f5e1839550807e0cacf352dfc07caf936ed60537f080807c0f17	CANONICAL_SOURCE	dimswe/test2a_fair_longfit.py	RETAINED_VERSIONED	scientific implementation
dimswe/test2a_fiml.py	UNTRACKED	101018	db4c93291b8e8376ac00a369cf20af329f062cd743305c79d6081a30a2860350	CANONICAL_SOURCE	dimswe/test2a_fiml.py	RETAINED_VERSIONED	scientific implementation
dimswe/test2a_h1_m2_equivalence.py	UNTRACKED	25480	68b670dc594e91c706de6a226a2812cbc15f1284eaf766fc2d2d6df198f06f5f	CANONICAL_SOURCE	dimswe/test2a_h1_m2_equivalence.py	RETAINED_VERSIONED	scientific implementation
dimswe/test2a_horizon_curriculum.py	UNTRACKED	59703	af4cfacde4ce2db1e99054c901021061c10a4d1e2d25c646e99160d1a745fa87	CANONICAL_SOURCE	dimswe/test2a_horizon_curriculum.py	RETAINED_VERSIONED	scientific implementation
dimswe/test2a_m1_to_m2_finetune.py	UNTRACKED	20572	ba54fcdf4e904e037cc1a404ff31af5e55df77e5e3884344068b42b881c2a1ba	CANONICAL_SOURCE	dimswe/test2a_m1_to_m2_finetune.py	RETAINED_VERSIONED	scientific implementation
dimswe/test2a_operator.py	UNTRACKED	34002	960a9f2850e615ade2952952420953bf53bf356e8cf129b7afddf17e7b3dcf7e	CANONICAL_SOURCE	dimswe/test2a_operator.py	RETAINED_VERSIONED	scientific implementation
dimswe/test2a_optimizer_study.py	UNTRACKED	18896	1082e9a186f3cabf035d3446312b093f0a39b53d77a9d9e1b2dc96f8670b293b	CANONICAL_SOURCE	dimswe/test2a_optimizer_study.py	RETAINED_VERSIONED	scientific implementation
dimswe/test2a_problem_b.py	UNTRACKED	23286	29f72b9e6347a1a1c793966b111c15dc5b67123d706b6fb1bc5cd05820dd5492	CANONICAL_SOURCE	dimswe/test2a_problem_b.py	RETAINED_VERSIONED	scientific implementation
dimswe/test2a_problem_b_campaign.py	UNTRACKED	69267	8953083c69027374b7db0f355d211db4f5a2dc93cc8b3f5b16c55eaeccda1457	CANONICAL_SOURCE	dimswe/test2a_problem_b_campaign.py	RETAINED_VERSIONED	scientific implementation
dimswe/test2a_problem_b_signed_water_budget.py	UNTRACKED	25032	4957718bb75a5cb3bb2f1ebdcc67fb69ad1a831f428adf3a1d004b9728993827	CANONICAL_SOURCE	dimswe/test2a_problem_b_signed_water_budget.py	RETAINED_VERSIONED	scientific implementation
dimswe/test2a_pyrol.py	UNTRACKED	19569	537f38d2c58fbb2001f51f02748d7645ac23fd4e300b970d76440322175ad61d	CANONICAL_SOURCE	dimswe/test2a_pyrol.py	RETAINED_VERSIONED	scientific implementation
