run_id,physical_case,representation,campaign_role,trained_objective,fitted_column,J_M1_X,J_M1_Y,J_M2_X,J_H1,J_H2,J_H5,source_artifacts,interpretation
t2a-a-m2x-warm,Test 2A,A,accepted warm-start branch,M2-X,J_M2_X,0.0006177669316782416,NOT_DEFINED_FOR_HISTORICAL_TEST2A,0.0005167359629570338,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/m1-to-m2-finetune/operator-200k-to-discrete-m20-50k/fit_result.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-h1,Test 2A,A,accepted horizon ladder,H1,J_H1,0.0005960029451735024,NOT_DEFINED_FOR_HISTORICAL_TEST2A,0.0005628142819567373,0.00045108062971305733,0.0007339234635750395,0.0015110999501957436,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/horizon-curriculum-h1-h2-h5/h1-from-m1-200k/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/horizon-curriculum-h1-h2-h5/postprocess/cross-objectives/h1_final.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-h2,Test 2A,A,accepted horizon ladder,H2,J_H2,0.0006021622844867796,NOT_DEFINED_FOR_HISTORICAL_TEST2A,0.0005656311359179476,0.0004524129543487752,0.0007314762388426759,0.0014982479662056928,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/horizon-curriculum-h1-h2-h5/h2-from-h1/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/horizon-curriculum-h1-h2-h5/postprocess/cross-objectives/h2_final.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-h5,Test 2A,A,accepted horizon ladder,H5,J_H5,0.0006148733782046905,NOT_DEFINED_FOR_HISTORICAL_TEST2A,0.000579287916931123,0.0004606034021655412,0.0007356325443761752,0.0014847990297685324,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/horizon-curriculum-h1-h2-h5/h5-from-h2/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/horizon-curriculum-h1-h2-h5/postprocess/cross-objectives/h5_final.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-m2x-warm-nonscientific-smoke-20,Test 2A,A,nonscientific implementation smoke,M2-X,J_M2_X,NOT_EVALUATED,NOT_DEFINED_FOR_HISTORICAL_TEST2A,0.000790187980446671,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/m1-to-m2-finetune/nonscientific-smoke/smoke_result.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-h1-nonscientific-smoke-2,Test 2A,A,nonscientific prelaunch horizon smoke,H1,J_H1,NOT_EVALUATED,NOT_DEFINED_FOR_HISTORICAL_TEST2A,NOT_EVALUATED,0.0007013734340936095,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/horizon-curriculum-h1-h2-h5/nonscientific-smokes/prelaunch-two-iterations/smoke_results.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-h2-nonscientific-smoke-2,Test 2A,A,nonscientific prelaunch horizon smoke,H2,J_H2,NOT_EVALUATED,NOT_DEFINED_FOR_HISTORICAL_TEST2A,NOT_EVALUATED,NOT_EVALUATED,0.0011152174952142105,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/horizon-curriculum-h1-h2-h5/nonscientific-smokes/prelaunch-two-iterations/smoke_results.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-h5-nonscientific-smoke-2,Test 2A,A,nonscientific prelaunch horizon smoke,H5,J_H5,NOT_EVALUATED,NOT_DEFINED_FOR_HISTORICAL_TEST2A,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0.0022409220429878834,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/horizon-curriculum-h1-h2-h5/nonscientific-smokes/prelaunch-two-iterations/smoke_results.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-fiml-direct-h2,Test 2A,A,auxiliary FIML study,FIML-direct-H2,,NOT_EVALUATED,NOT_DEFINED_FOR_HISTORICAL_TEST2A,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fiml-sparse-endpoint-h2-h5/direct-endpoint-h2/fit_result.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-fiml-direct-h5,Test 2A,A,auxiliary FIML study,FIML-direct-H5,,NOT_EVALUATED,NOT_DEFINED_FOR_HISTORICAL_TEST2A,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fiml-sparse-endpoint-h2-h5/direct-endpoint-h5/fit_result.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-fiml-pseudo-h2,Test 2A,A,auxiliary FIML study,FIML-pseudo-H2,,NOT_EVALUATED,NOT_DEFINED_FOR_HISTORICAL_TEST2A,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fiml-sparse-endpoint-h2-h5/stage2/h2/fit_result.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-fiml-pseudo-h5,Test 2A,A,auxiliary FIML study,FIML-pseudo-H5,,NOT_EVALUATED,NOT_DEFINED_FOR_HISTORICAL_TEST2A,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fiml-sparse-endpoint-h2-h5/stage2/h5/fit_result.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-fiml-smoke-fresh-h2-direct-h2,Test 2A,A,nonscientific FIML fresh-process benchmark smoke,FIML-direct-H2,,NOT_EVALUATED,NOT_DEFINED_FOR_HISTORICAL_TEST2A,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fiml-sparse-endpoint-h2-h5/benchmarks/H2-fresh/benchmark_and_smokes.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-fiml-smoke-fresh-h2-stage2-h2,Test 2A,A,nonscientific FIML fresh-process benchmark smoke,FIML-pseudo-H2,,NOT_EVALUATED,NOT_DEFINED_FOR_HISTORICAL_TEST2A,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fiml-sparse-endpoint-h2-h5/benchmarks/H2-fresh/benchmark_and_smokes.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-fiml-smoke-fresh-h5-direct-h5,Test 2A,A,nonscientific FIML fresh-process benchmark smoke,FIML-direct-H5,,NOT_EVALUATED,NOT_DEFINED_FOR_HISTORICAL_TEST2A,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fiml-sparse-endpoint-h2-h5/benchmarks/H5-fresh/benchmark_and_smokes.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-fiml-smoke-fresh-h5-stage2-h5,Test 2A,A,nonscientific FIML fresh-process benchmark smoke,FIML-pseudo-H5,,NOT_EVALUATED,NOT_DEFINED_FOR_HISTORICAL_TEST2A,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fiml-sparse-endpoint-h2-h5/benchmarks/H5-fresh/benchmark_and_smokes.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-fiml-smoke-superseded-h2-same-tape-direct-h2,Test 2A,A,superseded nonscientific FIML timing smoke,FIML-direct-H2,,NOT_EVALUATED,NOT_DEFINED_FOR_HISTORICAL_TEST2A,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fiml-sparse-endpoint-h2-h5/preparation/superseded-benchmarks/H2-same-tape-timing/benchmark_and_smokes.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-fiml-smoke-superseded-h2-same-tape-stage2-h2,Test 2A,A,superseded nonscientific FIML timing smoke,FIML-pseudo-H2,,NOT_EVALUATED,NOT_DEFINED_FOR_HISTORICAL_TEST2A,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fiml-sparse-endpoint-h2-h5/preparation/superseded-benchmarks/H2-same-tape-timing/benchmark_and_smokes.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-fiml-smoke-superseded-combined-memory-aborted-direct-h2,Test 2A,A,completed neural endpoint inside superseded/aborted FIML benchmark,FIML-direct-H2,,NOT_EVALUATED,NOT_DEFINED_FOR_HISTORICAL_TEST2A,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fiml-sparse-endpoint-h2-h5/preparation/superseded-benchmarks/combined-process-memory-aborted/benchmark_and_smokes.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-fiml-smoke-superseded-combined-memory-aborted-direct-h5,Test 2A,A,completed neural endpoint inside superseded/aborted FIML benchmark,FIML-direct-H5,,NOT_EVALUATED,NOT_DEFINED_FOR_HISTORICAL_TEST2A,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fiml-sparse-endpoint-h2-h5/preparation/superseded-benchmarks/combined-process-memory-aborted/benchmark_and_smokes.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-fiml-smoke-superseded-combined-memory-aborted-stage2-h2,Test 2A,A,completed neural endpoint inside superseded/aborted FIML benchmark,FIML-pseudo-H2,,NOT_EVALUATED,NOT_DEFINED_FOR_HISTORICAL_TEST2A,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fiml-sparse-endpoint-h2-h5/preparation/superseded-benchmarks/combined-process-memory-aborted/benchmark_and_smokes.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-a-fiml-smoke-superseded-combined-memory-aborted-stage2-h5,Test 2A,A,completed neural endpoint inside superseded/aborted FIML benchmark,FIML-pseudo-H5,,NOT_EVALUATED,NOT_DEFINED_FOR_HISTORICAL_TEST2A,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/fiml-sparse-endpoint-h2-h5/preparation/superseded-benchmarks/combined-process-memory-aborted/benchmark_and_smokes.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-c-m1x,Test 2A,C,accepted core,M1-X,J_M1_X,0.0005517974380792215,NOT_DEFINED_FOR_HISTORICAL_TEST2A,0.000514694288398967,0.0005169328070913088,0.0008572763965602125,0.001878851742228847,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/problem-b/production/m1-seed0-m20-200k/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/problem-b/production/problem_b_comparison.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-c-m2x-independent,Test 2A,C,accepted core,M2-X,J_M2_X,0.5115121109473573,NOT_DEFINED_FOR_HISTORICAL_TEST2A,0.0005873863838421324,0.0006590781761457414,0.028676935487025216,0.5887682923351883,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/problem-b/production/m2x-seed0-m20-200k/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/problem-b/production/problem_b_comparison.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-c-m2x-warm,Test 2A,C,accepted core,M2-X,J_M2_X,0.0018576269386874414,NOT_DEFINED_FOR_HISTORICAL_TEST2A,0.00043850961099866574,0.00046763853861099146,0.0010176331604439524,0.004550763143650334,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/problem-b/production/m1-to-m2x-m20-50k/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/problem-b/production/problem_b_comparison.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-c-h1,Test 2A,C,accepted core,H1,J_H1,0.0014428738537354345,NOT_DEFINED_FOR_HISTORICAL_TEST2A,0.0005069439811913891,0.0003984244402958454,0.0007660054050077655,0.0027106934681602945,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/problem-b/production/h1-from-m1/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/problem-b/production/problem_b_comparison.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-c-h2,Test 2A,C,accepted core,H2,J_H2,0.001488986007703301,NOT_DEFINED_FOR_HISTORICAL_TEST2A,0.0005421372906409142,0.0004231610421899405,0.0006962489812542169,0.0020390381125901676,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/problem-b/production/h2-from-h1/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/problem-b/production/problem_b_comparison.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2a-c-h5,Test 2A,C,accepted core,H5,J_H5,0.0014478207491836004,NOT_DEFINED_FOR_HISTORICAL_TEST2A,0.0007393382967838146,0.000568935947433809,0.0007839911759517964,0.0016206670827861548,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/problem-b/production/h5-from-h2/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2a/problem-b/production/problem_b_comparison.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2b-a-m1x,Test 2B,A,accepted core,M1-X,J_M1_X,2.9897337575707075e-05,0.00023105356375001702,1.8351103190537455e-05,0.0001770084405503909,0.00036126191349134846,0.0010016940305325648,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-seed0-m20-10k/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/representation_a_final_comparison.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_A_matched.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2b-a-m2x-independent,Test 2B,A,accepted core,M2-X,J_M2_X,3.034694643382492e-05,NOT_EVALUATED,1.864768212896724e-05,0.00020023617521018256,0.0004238533968573582,0.0012655023430765348,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m2x-seed0-m20-10k/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/representation_a_final_comparison.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2b-a-m2x-warm,Test 2B,A,accepted warm-start branch,M2-X,J_M2_X,2.570080153639552e-05,NOT_EVALUATED,1.4875848850968718e-05,0.0001617805975503917,0.0003319232782234411,0.0009403195702942773,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-to-m2x-m20-5k/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/representation_a_final_comparison.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2b-a-h1,Test 2B,A,accepted horizon ladder,H1,J_H1,0.00015503789167577002,NOT_EVALUATED,0.00011867286238016006,3.001818343501887e-05,5.522341364243512e-05,0.00011056536728691643,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/representation_a_final_comparison.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2b-a-h2,Test 2B,A,accepted horizon ladder,H2,J_H2,0.00015543799479717557,NOT_EVALUATED,0.00011898020748438811,3.0002290459653828e-05,5.518718280643356e-05,0.00011044682789864873,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h2-from-h1-m20-20/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/representation_a_final_comparison.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2b-a-h5,Test 2B,A,accepted horizon ladder,H5,J_H5,0.00015728459431822668,NOT_EVALUATED,0.00012042262782866915,3.0090679978333905e-05,5.5284127940956e-05,0.00011019889746677016,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h5-from-h2-m20-20/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/representation_a_final_comparison.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
t2b-b-m1x,Test 2B,B,accepted core,M1-X,J_M1_X,4.072769317816356e-05,0.00028540368355305025,2.6983137744699252e-05,0.00022321605852819912,0.00046971842827333383,0.001402828164697441,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m1-seed0-m20-10k/fit_result.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/representation_b_final_comparison.json; /Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_B_matched.json,The fitted_column value is the terminal training objective; every other numeric cell is a post-hoc diagnostic evaluation.
